City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
Mecca,SA,,,,,,,
Leningradskiy,RU,,,,,,,
Mar Del Plata,AR,,,,,,,
Mount Gambier,AU,,,,,,,
Rikitea,PF,,,,,,,
Rikitea,PF,,,,,,,
Punta Arenas,CL,,,,,,,
East London,ZA,,,,,,,
Talnakh,RU,,,,,,,
Lakatoro,VU,,,,,,,
Saskylakh,RU,,,,,,,
Ouallam,NE,,,,,,,
Port Hedland,AU,,,,,,,
Carutapera,BR,,,,,,,
Taolanaro,MG,,,,,,,
Margate,ZA,,,,,,,
Albany,AU,,,,,,,
Sitka,US,,,,,,,
Pangnirtung,CA,,,,,,,
Yerofey Pavlovich,RU,,,,,,,
Tuatapere,NZ,,,,,,,
Rikitea,PF,,,,,,,
Chapais,CA,,,,,,,
Port Shepstone,ZA,,,,,,,
Raga,SD,,,,,,,
Attawapiskat,CA,,,,,,,
Punta Arenas,CL,,,,,,,
Chuy,UY,,,,,,,
Khatanga,RU,,,,,,,
Hermanus,ZA,,,,,,,
Busselton,AU,,,,,,,
Iglesias,IT,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Constitucion,MX,,,,,,,
Punta Arenas,CL,,,,,,,
Marcona,PE,,,,,,,
Vostok,RU,,,,,,,
Taolanaro,MG,,,,,,,
Comodoro Rivadavia,AR,,,,,,,
Rikitea,PF,,,,,,,
Matara,LK,,,,,,,
Ribeira Grande,PT,,,,,,,
Cidreira,BR,,,,,,,
Albany,AU,,,,,,,
Estelle,US,,,,,,,
Lompoc,US,,,,,,,
Dikson,RU,,,,,,,
Mataura,PF,,,,,,,
Kiruna,SE,,,,,,,
Flin Flon,CA,,,,,,,
Daru,PG,,,,,,,
Arraial Do Cabo,BR,,,,,,,
Brigantine,US,,,,,,,
Punta Arenas,CL,,,,,,,
Saint-Philippe,RE,,,,,,,
Hilo,US,,,,,,,
Taolanaro,MG,,,,,,,
Santa Ana,PE,,,,,,,
Ribeira Grande,PT,,,,,,,
Port Hardy,CA,,,,,,,
Forbes,AU,,,,,,,
Provideniya,RU,,,,,,,
Hobart,AU,,,,,,,
New Norfolk,AU,,,,,,,
Touros,BR,,,,,,,
Rikitea,PF,,,,,,,
Antalaha,MG,,,,,,,
Ponta Do Sol,CV,,,,,,,
Avarua,CK,,,,,,,
Birao,CF,,,,,,,
Charlestown,US,,,,,,,
Trelew,AR,,,,,,,
Puerto Ayora,EC,,,,,,,
Salinas,EC,,,,,,,
Xichang,CN,,,,,,,
Upernavik,GL,,,,,,,
Busselton,AU,,,,,,,
Dingle,IE,,,,,,,
Albany,AU,,,,,,,
Ushuaia,AR,,,,,,,
Mys Shmidta,RU,,,,,,,
Hilo,US,,,,,,,
Rikitea,PF,,,,,,,
Geraldton,AU,,,,,,,
Saint-Philippe,RE,,,,,,,
Adrar,DZ,,,,,,,
Matamoros,MX,,,,,,,
Belushya Guba,RU,,,,,,,
Hilo,US,,,,,,,
Pacific Grove,US,,,,,,,
Vaini,TO,,,,,,,
Rikitea,PF,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Marrakesh,MA,,,,,,,
Ouadda,CF,,,,,,,
Punta Arenas,CL,,,,,,,
Bluff,NZ,,,,,,,
Clyde River,CA,,,,,,,
Bluff,NZ,,,,,,,
Ossora,RU,,,,,,,
Ushuaia,AR,,,,,,,
Boende,CD,,,,,,,
Hobart,AU,,,,,,,
Punta Arenas,CL,,,,,,,
Kapit,MY,,,,,,,
Arraial Do Cabo,BR,,,,,,,
Mount Isa,AU,,,,,,,
Kimbe,PG,,,,,,,
Lang Son,VN,,,,,,,
Saskylakh,RU,,,,,,,
Bethel,US,,,,,,,
Mataura,PF,,,,,,,
Nalut,LY,,,,,,,
Vanimo,PG,,,,,,,
Alyangula,AU,,,,,,,
Ilulissat,GL,,,,,,,
Vitim,RU,,,,,,,
Jamestown,SH,,,,,,,
Qaanaaq,GL,,,,,,,
Punta Arenas,CL,,,,,,,
Cape Town,ZA,,,,,,,
Challans,FR,,,,,,,
Taolanaro,MG,,,,,,,
Yacuiba,BO,,,,,,,
Ribeira Grande,PT,,,,,,,
Avarua,CK,,,,,,,
Tuatapere,NZ,,,,,,,
Cabo San Lucas,MX,,,,,,,
Natitingou,BJ,,,,,,,
Carnarvon,ZA,,,,,,,
Mao,TD,,,,,,,
Hobart,AU,,,,,,,
Fallon,US,,,,,,,
Saravan,LA,,,,,,,
Ushuaia,AR,,,,,,,
Port Alfred,ZA,,,,,,,
Faya,TD,,,,,,,
Kushnarenkovo,RU,,,,,,,
Jamestown,SH,,,,,,,
Tsihombe,MG,,,,,,,
